route,route_length_km,num_stops,stops_per_km,avg_route_overlap,trips,duration,speed,corridor_pressure,congestion_score_norm,actual_relative_demand,predicted_relative_demand,overcrowding_flag,demand_level,efficiency_score,efficiency_rank,efficiency_category,redundancy_score,redundancy_rank,redundancy_category,priority_score,priority_category
FDR-2,16.80084124,10,0.5952082909,20.7,72,1.083333333,17.53846154,2.0,0.2137448706,84.80895316,92.9893,1,OVERCROWDED,21.69858980998239,70,LOW,0.2226062568489062,98,NORMAL,5,URGENT
369,12.68826323,13,1.024568908,61.07692308,36,0.75,23.04,2.0,0.7478664081,52.77243532,51.858654,1,OVERCROWDED,18.27767368626368,82,LOW,1.1777575846839372,51,NORMAL,5,URGENT
245MA,21.75881361,14,0.643417433,35.28571429,6,1.333333333,18.825,2.0,0.2863516469,22.92976908,23.24156,0,Normal,84.2847953409386,16,HIGH,1.5182162595798216,36,NORMAL,0,LOW
MBS-12,25.18307151,11,0.4368013646,17.90909091,10,1.583333333,18.31578947,2.0,0.1068036543,23.54360502,23.30244,0,Normal,58.68270128774844,29,HIGH,0.7685500278082467,66,NORMAL,0,LOW
214B,28.9079439,6,0.2075554049,94.5,8,1.5,22.0,2.0,0.2366671567,16.44422256,16.54545,0,Normal,59.78686755003187,27,HIGH,5.711540030642866,6,HIGH,1,MEDIUM
226H,30.65968931,18,0.5870900979,11.05555556,5,1.5,21.66666667,2.0,0.07761636589,25.66470646,27.349207,0,Normal,167.70363789897544,8,HIGH,0.4042367868289563,91,NORMAL,0,LOW
211E,27.36406627,6,0.2192656581,94.5,8,1.333333333,22.275,2.0,0.2413886401,16.4606543,16.43786,0,Normal,56.225836297122775,31,HIGH,5.748923521674962,5,HIGH,1,MEDIUM
59F,7.377022328,10,1.35556049,21.2,4,0.5833333333,16.28571429,2.0,0.335720665,17.69128115,17.763483,0,Normal,32.76040267851211,48,LOW,1.193459638517964,49,NORMAL,2,HIGH
210B,9.521900316,7,0.7351473727,83.14285714,14,0.6666666667,17.4,2.0,0.7440523692,24.47919974,24.409212,0,Normal,16.601577389722213,89,LOW,3.4062081619021543,15,NORMAL,2,HIGH
210G,14.65708255,6,0.4093584096,15.66666667,36,1.0,20.0,2.0,0.0868276922,44.4961861,45.835403,1,OVERCROWDED,18.661480152319932,78,LOW,0.3418027473217591,93,NORMAL,5,URGENT
215NC,13.56949761,1,0.07369469592,18.0,9,1.166666667,17.14285714,2.0,0.01734404665,12.09103874,11.75784,0,Normal,17.7275535309736,84,LOW,1.530893429405401,35,NORMAL,2,HIGH
238AB,8.41406132,8,0.9507893626,40.125,16,0.75,20.24,2.0,0.4411394842,27.39192885,26.95507,0,Normal,14.175100741555775,92,LOW,1.488588232195279,39,NORMAL,2,HIGH
37F,10.7463499,7,0.6513839645,15.0,14,0.75,15.46666667,2.0,0.1279763036,23.77936027,23.993856,0,Normal,18.417598001872456,81,LOW,0.6251600409704884,79,NORMAL,2,HIGH
248F,14.45352063,9,0.6226856575,27.44444444,30,1.0,16.8,2.0,0.2454831973,41.86816885,41.81906,0,Normal,20.14775488124026,74,LOW,0.6562664115357926,74,NORMAL,2,HIGH
279F,20.1204555,8,0.3976053126,23.625,7,1.333333333,18.225,2.0,0.1211782232,17.51878354,17.43107,0,Normal,50.10300975034071,36,LOW,1.355338484671337,42,NORMAL,2,HIGH
215X,12.15064309,6,0.493801024,79.33333333,14,0.8333333333,16.56,2.0,0.504454556,22.99825558,23.45754,0,Normal,20.358871164957044,73,LOW,3.38199714590703,16,NORMAL,2,HIGH
365F,32.60578654,33,1.012090291,51.36363636,7,1.5,23.66666667,2.0,0.5983031022,43.61039339,44.677177,0,Normal,208.10492806739964,2,HIGH,1.14966163506705,55,NORMAL,0,LOW
211L,15.55379204,7,0.4500510218,91.71428571,12,1.0,18.1,2.0,0.5184632773,21.9685143,21.314552,0,Normal,27.62684243614717,56,LOW,4.302895304109605,11,HIGH,3,HIGH
242RA,25.87412312,8,0.3091892221,57.0,5,1.416666667,19.46823529,2.0,0.2202263556,15.52941558,16.188665,0,Normal,83.77350227168697,17,HIGH,3.5209821192791377,14,NORMAL,0,LOW
CHAKRA-2,9.840390311,7,0.7113538975,16.28571429,24,0.75,18.0,2.0,0.1487384291,33.86009233,33.35546,0,Normal,13.67628105845617,96,LOW,0.4882473301222648,85,NORMAL,2,HIGH
402M,29.53297772,20,0.6772090572,5.6,6,1.583333333,21.91578947,2.0,0.04595717311,28.72316623,28.840252,0,Normal,141.95641995919758,11,HIGH,0.1941730606237421,101,NORMAL,0,LOW
34,11.18774239,5,0.4469176915,14.0,9,0.9166666667,15.05454545,2.0,0.08323607827,16.53015377,17.594038,0,Normal,21.87084052709676,68,LOW,0.7957240969924015,63,NORMAL,2,HIGH
213G,32.26874686,6,0.185938426,94.5,8,1.5,22.73333333,1.897481511,0.2081408505,16.29156079,16.389132,0,Normal,66.1070939703907,24,HIGH,5.766016162417875,4,HIGH,1,MEDIUM
201K,20.55341622,12,0.583844548,13.5,9,1.166666667,20.48571429,2.0,0.09395463907,23.67779919,23.9661,0,Normal,54.731692052238,32,HIGH,0.5632956551128468,82,NORMAL,0,LOW
258BN,36.92280189,20,0.5416707014,3.9,4,2.5,16.68,2.0,0.03359029997,26.575261,26.649921,0,Normal,245.9974383667877,1,HIGH,0.1463418972236353,103,NORMAL,0,LOW
213A,27.54591245,5,0.1815151344,92.2,6,1.25,22.96,2.0,0.1867320069,13.36824714,13.636889,0,Normal,62.60675841406134,25,HIGH,6.761072851733266,2,HIGH,1,MEDIUM
61M,7.625352747,4,0.5245658965,53.75,36,0.5,19.2,2.0,0.3546196622,42.87918556,45.78016,0,Normal,9.696940800391651,104,LOW,1.174089387193055,52,NORMAL,2,HIGH
201L,25.04396047,14,0.5590170141,15.28571429,4,2.0,14.55,2.0,0.1345851854,20.6936022,21.821552,0,Normal,136.62452142051237,12,HIGH,0.7004870363941116,70,NORMAL,0,LOW
24F,8.678589205,5,0.5761305071,33.6,17,0.6666666667,14.7,2.0,0.2597718641,24.83590237,25.532251,0,Normal,13.03434811223238,98,LOW,1.3159826761847204,44,NORMAL,2,HIGH
MP-501A,34.75633306,5,0.1438586744,4.4,24,1.833333333,21.0,2.0,0.009037166806,31.15289584,31.729082,0,Normal,45.94943923666879,40,LOW,0.138674040427643,104,NORMAL,2,HIGH
366H,25.89292872,32,1.235858653,50.59375,6,1.333333333,20.25,2.0,0.758755412,41.99461406,41.129566,0,Normal,177.4941534537559,6,HIGH,1.23010658561289,47,NORMAL,0,LOW
214,25.78646805,6,0.2326801789,94.5,14,1.333333333,24.225,2.0,0.2526143419,22.48529452,21.962328,0,Normal,40.4522049482586,42,LOW,4.302822542309722,12,HIGH,3,HIGH
240C,15.49771469,5,0.3226282132,63.0,23,0.8333333333,20.88,2.0,0.2438424833,30.5664707,31.324736,0,Normal,21.10703570728573,72,LOW,2.0111901342121445,27,NORMAL,2,HIGH
60F,15.54256009,11,0.7077341143,19.0,8,1.083333333,15.78461538,2.0,0.1792944794,21.88702859,22.4255,0,Normal,43.56871016228688,41,LOW,0.8472497826135427,61,NORMAL,2,HIGH
410,29.01555617,15,0.5169640695,22.33333333,77,1.666666667,18.18,2.0,0.2218117446,94.73877581,100.55924,1,OVERCROWDED,37.89327631990274,43,LOW,0.2220913098587459,99,NORMAL,5,URGENT
243M,51.05253897,10,0.195876644,41.7,4,2.0,32.0,1.981705931,0.08317406571,16.26075664,16.206722,0,Normal,206.84857662023907,3,HIGH,2.573006435231011,23,NORMAL,0,LOW
195,10.63086899,5,0.4703284375,22.2,41,0.9166666667,15.92727273,2.0,0.1601371897,48.63046563,48.89234,1,OVERCROWDED,12.677269784256987,101,LOW,0.4540588566634364,88,NORMAL,5,URGENT
163E,10.54232626,1,0.09485572493,1.0,8,1.416666667,15.52941176,2.0,0.001350661439,11.09620639,10.710896,0,Normal,14.11472002111612,93,LOW,0.0933628708559956,105,NORMAL,2,HIGH
